Frequency (Hz)	Level (dB)
43.066406	-50.191898
86.132813	-51.240654
129.199219	-50.084469
172.265625	-55.659893
215.332031	-52.463551
258.398438	-49.977989
301.464844	-46.567783
344.531250	-47.414360
387.597656	-44.253647
430.664063	-44.969906
473.730469	-46.968990
516.796875	-51.884808
559.863281	-55.626987
602.929688	-55.876110
645.996094	-56.017799
689.062500	-57.839508
732.128906	-57.854156
775.195313	-60.185875
818.261719	-61.269115
861.328125	-57.683910
904.394531	-56.885052
947.460938	-57.048260
990.527344	-58.111660
1033.593750	-58.132359
1076.660156	-56.445923
1119.726563	-53.193295
1162.792969	-52.993595
1205.859375	-56.298092
1248.925781	-57.417027
1291.992188	-58.117905
1335.058594	-61.182045
1378.125000	-57.893990
1421.191406	-56.474457
1464.257813	-58.194035
1507.324219	-58.443771
1550.390625	-57.779408
1593.457031	-58.765301
1636.523438	-52.723209
1679.589844	-48.633984
1722.656250	-52.090145
1765.722656	-53.650684
1808.789063	-52.043514
1851.855469	-56.610550
1894.921875	-60.809925
1937.988281	-52.607658
1981.054688	-54.579372
2024.121094	-56.923840
2067.187500	-54.739700
2110.253906	-53.199127
2153.320313	-55.267830
2196.386719	-53.399780
2239.453125	-56.161610
2282.519531	-52.298660
2325.585938	-48.925983
2368.652344	-51.341675
2411.718750	-51.445801
2454.785156	-53.377647
2497.851563	-54.827881
2540.917969	-58.312225
2583.984375	-61.069675
2627.050781	-61.372047
2670.117188	-60.479744
2713.183594	-58.532310
2756.250000	-58.551350
2799.316406	-55.791389
2842.382813	-52.421707
2885.449219	-47.516766
2928.515625	-45.326080
2971.582031	-45.328831
3014.648438	-49.477890
3057.714844	-50.283371
3100.781250	-52.203037
3143.847656	-52.235527
3186.914063	-51.934151
3229.980469	-52.547279
3273.046875	-53.160149
3316.113281	-51.738953
3359.179688	-49.242775
3402.246094	-51.788193
3445.312500	-52.540291
3488.378906	-45.156181
3531.445313	-41.468269
3574.511719	-39.871319
3617.578125	-38.673775
3660.644531	-38.466705
3703.710938	-34.935997
3746.777344	-33.260948
3789.843750	-32.007690
3832.910156	-34.278103
3875.976563	-32.625053
3919.042969	-34.293495
3962.109375	-34.675407
4005.175781	-32.640366
4048.242188	-33.288204
4091.308594	-35.275471
4134.375000	-38.403301
4177.441406	-39.689301
4220.507813	-40.079227
4263.574219	-39.282814
4306.640625	-38.555325
4349.707031	-41.853909
4392.773438	-43.235054
4435.839844	-47.227310
4478.906250	-49.544254
4521.972656	-45.539276
4565.039063	-45.440014
4608.105469	-43.453686
4651.171875	-40.557735
4694.238281	-42.922569
4737.304688	-44.576031
4780.371094	-43.245140
4823.437500	-45.926147
4866.503906	-43.801544
4909.570313	-44.678024
4952.636719	-45.012367
4995.703125	-42.674995
5038.769531	-42.592319
5081.835938	-43.877342
5124.902344	-42.767109
5167.968750	-37.804672
5211.035156	-39.859249
5254.101563	-38.219707
5297.167969	-35.794189
5340.234375	-34.463913
5383.300781	-33.839252
5426.367188	-35.779881
5469.433594	-36.564835
5512.500000	-38.320454
5555.566406	-36.886585
5598.632813	-39.793411
5641.699219	-40.402405
5684.765625	-40.414063
5727.832031	-44.382351
5770.898438	-48.693264
5813.964844	-54.116322
5857.031250	-53.002628
5900.097656	-51.057102
5943.164063	-49.361507
5986.230469	-48.941532
6029.296875	-46.457291
6072.363281	-45.108425
6115.429688	-47.692287
6158.496094	-45.321346
6201.562500	-42.316410
6244.628906	-41.939922
6287.695313	-39.219818
6330.761719	-37.573257
6373.828125	-37.501732
6416.894531	-38.562424
6459.960938	-39.720177
6503.027344	-37.749798
6546.093750	-36.504147
6589.160156	-35.322739
6632.226563	-36.571777
6675.292969	-36.845078
6718.359375	-36.362305
6761.425781	-38.406345
6804.492188	-41.140953
6847.558594	-41.708500
6890.625000	-41.664028
6933.691406	-41.801620
6976.757813	-40.263035
7019.824219	-40.830006
7062.890625	-39.814785
7105.957031	-39.826988
7149.023438	-39.813202
7192.089844	-39.827618
7235.156250	-40.522030
7278.222656	-42.772644
7321.289063	-38.619812
7364.355469	-36.192848
7407.421875	-37.626225
7450.488281	-42.687134
7493.554688	-43.457008
7536.621094	-43.651402
7579.687500	-45.451015
7622.753906	-44.100571
7665.820313	-44.320591
7708.886719	-40.172123
7751.953125	-37.460796
7795.019531	-36.920635
7838.085938	-36.410999
7881.152344	-34.282349
7924.218750	-34.521667
7967.285156	-33.623917
8010.351563	-31.869440
8053.417969	-31.960142
8096.484375	-33.102730
8139.550781	-34.795540
8182.617188	-37.615234
8225.683594	-36.925652
8268.750000	-39.016659
8311.816406	-43.967091
8354.882813	-41.955318
8397.949219	-47.935425
8441.015625	-53.029942
8484.082031	-50.601330
8527.148438	-51.501343
8570.214844	-50.600941
8613.281250	-50.785526
8656.347656	-50.018055
8699.414063	-49.979759
8742.480469	-47.567257
8785.546875	-46.903919
8828.613281	-43.985447
8871.679688	-45.446499
8914.746094	-42.155499
8957.812500	-39.366196
9000.878906	-39.457458
9043.945313	-35.489868
9087.011719	-35.649223
9130.078125	-32.855152
9173.144531	-32.696453
9216.210938	-36.709126
9259.277344	-39.149799
9302.343750	-40.017498
9345.410156	-45.414722
9388.476563	-42.972305
9431.542969	-40.632782
9474.609375	-40.874962
9517.675781	-44.807198
9560.742188	-44.090824
9603.808594	-43.637054
9646.875000	-41.202881
9689.941406	-44.293079
9733.007813	-48.188793
9776.074219	-48.126858
9819.140625	-48.852169
9862.207031	-49.455788
9905.273438	-49.376503
9948.339844	-48.968349
9991.406250	-51.435795
10034.472656	-53.262024
10077.539063	-54.747295
10120.605469	-55.659393
10163.671875	-57.114418
10206.738281	-58.359318
10249.804688	-57.475899
10292.871094	-54.471306
10335.937500	-52.558540
10379.003906	-48.738468
10422.070313	-46.275623
10465.136719	-46.356869
10508.203125	-47.923157
10551.269531	-45.526165
10594.335938	-44.603298
10637.402344	-48.782444
10680.468750	-51.008152
10723.535156	-47.361629
10766.601563	-49.049660
10809.667969	-49.944557
10852.734375	-51.058029
10895.800781	-52.538078
10938.867188	-53.482716
10981.933594	-54.143494
11025.000000	-52.521088
11068.066406	-49.740932
11111.132813	-52.647686
11154.199219	-52.653378
11197.265625	-50.548195
11240.332031	-48.591194
11283.398438	-49.216812
11326.464844	-49.351097
11369.531250	-50.599079
11412.597656	-53.175613
11455.664063	-54.311943
11498.730469	-54.428585
11541.796875	-54.462063
11584.863281	-52.685966
11627.929688	-51.029865
11670.996094	-51.199158
11714.062500	-51.370560
11757.128906	-49.703556
11800.195313	-48.191097
11843.261719	-46.407856
11886.328125	-45.751785
11929.394531	-45.603920
11972.460938	-47.639366
12015.527344	-47.651302
12058.593750	-48.912964
12101.660156	-49.145119
12144.726563	-51.542568
12187.792969	-52.390656
12230.859375	-48.789101
12273.925781	-49.809444
12316.992188	-52.257698
12360.058594	-51.311356
12403.125000	-49.755013
12446.191406	-52.182972
12489.257813	-53.560692
12532.324219	-52.387932
12575.390625	-53.958813
12618.457031	-51.319695
12661.523438	-51.389626
12704.589844	-52.131401
12747.656250	-52.802399
12790.722656	-52.101563
12833.789063	-52.642044
12876.855469	-53.705509
12919.921875	-52.537178
12962.988281	-51.737942
13006.054688	-51.504662
13049.121094	-50.054962
13092.187500	-48.785942
13135.253906	-50.321724
13178.320313	-50.886570
13221.386719	-48.789410
13264.453125	-46.729210
13307.519531	-47.817455
13350.585938	-47.254803
13393.652344	-52.276794
13436.718750	-53.784378
13479.785156	-53.014225
13522.851563	-52.334991
13565.917969	-50.605736
13608.984375	-50.257542
13652.050781	-49.120625
13695.117188	-52.439671
13738.183594	-53.664265
13781.250000	-52.547081
13824.316406	-52.097267
13867.382813	-53.508057
13910.449219	-55.622257
13953.515625	-54.321239
13996.582031	-53.586929
14039.648438	-54.780849
14082.714844	-55.546673
14125.781250	-55.213684
14168.847656	-55.682632
14211.914063	-55.264534
14254.980469	-55.453106
14298.046875	-53.795147
14341.113281	-52.945206
14384.179688	-52.485920
14427.246094	-53.255047
14470.312500	-51.074848
14513.378906	-52.464706
14556.445313	-52.761726
14599.511719	-55.953815
14642.578125	-53.370201
14685.644531	-50.629585
14728.710938	-50.707893
14771.777344	-51.331135
14814.843750	-51.164825
14857.910156	-52.302395
14900.976563	-53.653870
14944.042969	-53.519157
14987.109375	-51.826626
15030.175781	-54.480236
15073.242188	-56.816517
15116.308594	-57.889420
15159.375000	-58.657608
15202.441406	-61.166756
15245.507813	-61.890629
15288.574219	-63.169998
15331.640625	-65.626129
15374.707031	-65.249611
15417.773438	-62.995468
15460.839844	-59.298618
15503.906250	-57.926086
15546.972656	-57.246872
15590.039063	-56.003098
15633.105469	-53.654404
15676.171875	-54.619583
15719.238281	-53.659710
15762.304688	-54.330303
15805.371094	-52.748447
15848.437500	-54.684391
15891.503906	-53.337585
15934.570313	-51.074978
15977.636719	-51.264141
16020.703125	-53.335350
16063.769531	-53.614098
16106.835938	-54.587116
16149.902344	-55.379711
16192.968750	-51.657688
16236.035156	-50.061821
16279.101563	-54.227272
16322.167969	-54.348122
16365.234375	-55.135105
16408.300781	-55.465363
16451.367188	-55.456017
16494.433594	-54.634911
16537.500000	-56.823040
16580.566406	-57.594887
16623.632813	-58.744049
16666.699219	-61.483299
16709.765625	-59.504692
16752.832031	-58.903660
16795.898438	-59.357647
16838.964844	-59.016888
16882.031250	-61.363785
16925.097656	-60.649551
16968.164063	-58.070335
17011.230469	-57.135586
17054.296875	-56.663761
17097.363281	-56.390675
17140.429688	-58.597393
17183.496094	-59.909950
17226.562500	-59.985058
17269.628906	-60.642685
17312.695313	-58.090317
17355.761719	-57.965115
17398.828125	-59.011585
17441.894531	-56.558186
17484.960938	-58.999935
17528.027344	-57.952522
17571.093750	-59.361935
17614.160156	-61.135864
17657.226563	-58.439354
17700.292969	-57.244011
17743.359375	-58.698433
17786.425781	-60.076862
17829.492188	-59.962257
17872.558594	-58.739529
17915.625000	-59.786549
17958.691406	-60.193302
18001.757813	-62.335831
18044.824219	-62.321156
18087.890625	-61.360817
18130.957031	-61.092804
18174.023438	-62.744259
18217.089844	-62.863232
18260.156250	-62.725986
18303.222656	-63.191635
18346.289063	-61.020992
18389.355469	-60.725353
18432.421875	-59.962830
18475.488281	-60.090759
18518.554688	-57.157967
18561.621094	-56.754677
18604.687500	-59.089478
18647.753906	-61.783268
18690.820313	-61.668049
18733.886719	-60.363457
18776.953125	-60.110184
18820.019531	-62.369934
18863.085938	-61.140457
18906.152344	-60.781044
18949.218750	-60.276794
18992.285156	-59.768478
19035.351563	-59.913197
19078.417969	-59.655895
19121.484375	-59.682144
19164.550781	-62.043831
19207.617188	-64.455605
19250.683594	-64.641518
19293.750000	-63.858734
19336.816406	-62.175037
19379.882813	-61.331142
19422.949219	-62.140362
19466.015625	-66.895874
19509.082031	-65.499077
19552.148438	-64.956802
19595.214844	-66.443420
19638.281250	-69.119667
19681.347656	-65.963760
19724.414063	-65.062782
19767.480469	-63.832127
19810.546875	-64.092476
19853.613281	-65.269051
19896.679688	-66.499924
19939.746094	-64.194107
19982.812500	-63.044689
20025.878906	-63.888222
20068.945313	-64.269348
20112.011719	-66.116325
20155.078125	-63.464417
20198.144531	-62.918713
20241.210938	-64.196808
20284.277344	-64.039337
20327.343750	-63.347755
20370.410156	-64.296623
20413.476563	-67.670334
20456.542969	-67.255058
20499.609375	-66.694351
20542.675781	-67.733231
20585.742188	-67.772873
20628.808594	-67.152344
20671.875000	-68.132454
20714.941406	-66.796165
20758.007813	-66.673958
20801.074219	-70.785843
20844.140625	-70.187378
20887.207031	-69.210205
20930.273438	-67.994171
20973.339844	-67.912163
21016.406250	-69.708504
21059.472656	-70.980125
21102.539063	-69.849289
21145.605469	-68.688301
21188.671875	-68.569611
21231.738281	-71.020264
21274.804688	-71.101051
21317.871094	-71.055412
21360.937500	-71.092148
21404.003906	-70.928726
21447.070313	-71.758675
21490.136719	-73.632599
21533.203125	-74.125000
21576.269531	-76.214706
21619.335938	-78.325241
21662.402344	-77.704788
21705.468750	-78.661263
21748.535156	-80.726700
21791.601563	-80.817741
21834.667969	-80.026695
21877.734375	-80.271896
21920.800781	-81.047165
21963.867188	-83.753487
22006.933594	-86.113808
